matchday,date,group,team_a,team_b,ground,host_a,host_b,lambda_a,lambda_b,p_a,p_draw,p_b,modal_score
5,2026-06-15,G,Iran,New Zealand,Los Angeles (Inglewood),False,False,1.4387434138283586,0.6314112213852894,0.5634148447868585,0.27718349040972334,0.15940166480341839,1-0
11,2026-06-21,G,Belgium,Iran,Los Angeles (Inglewood),False,False,1.5592756181310934,0.8095349705812321,0.5470670666269546,0.26250505192089035,0.19042788145215514,1-0
11,2026-06-21,G,New Zealand,Egypt,Vancouver,False,False,0.4467772553287753,1.2579793463441336,0.12818727337280716,0.306056292954037,0.5657564336731559,0-1
16,2026-06-26,G,Egypt,Iran,Seattle,False,False,0.8379462962226392,0.6781172362506288,0.36087323641590063,0.37148345277445183,0.26764331080964754,0-0
16,2026-06-26,G,New Zealand,Belgium,Vancouver,False,False,0.5333617742098918,2.340885724669072,0.06511487238377336,0.15703381075582867,0.777851316860398,0-2
5,2026-06-15,H,Spain,Cape Verde,Atlanta,False,False,2.5672470324415073,0.3602999008023199,0.8474748913472577,0.11917686568619237,0.033348242966549854,2-0
5,2026-06-15,H,Saudi Arabia,Uruguay,Miami (Miami Gardens),False,False,0.44103925372473984,1.3431727397835327,0.11789628827214199,0.2897355731166239,0.5923681386112343,0-1
11,2026-06-21,H,Spain,Saudi Arabia,Atlanta,False,False,2.0777164033562725,0.345181988606626,0.7827959603081204,0.16886633320965663,0.048337706482222964,2-0
11,2026-06-21,H,Uruguay,Cape Verde,Miami (Miami Gardens),False,False,1.6596375832117451,0.46035542007391583,0.6679713497935146,0.23690032639201314,0.09512832381447238,1-0
16,2026-06-26,H,Cape Verde,Saudi Arabia,Houston,False,False,0.7761188754168562,0.9187421081440883,0.28587834164028253,0.3484991942437301,0.3656224641159872,0-0
16,2026-06-26,H,Uruguay,Spain,Guadalajara (Zapopan),False,False,0.6235449494054097,1.2323988475963934,0.18393809550233386,0.3095135343278432,0.506548370169823,0-1
6,2026-06-16,I,France,Senegal,New York/New Jersey (East Rutherford),False,False,1.2939939758311338,0.7209670209448201,0.4981565985787437,0.2981422100965638,0.20370119132469264,1-0
6,2026-06-16,I,Iraq,Norway,Boston (Foxborough),False,False,0.5974534150850153,1.5173345660900905,0.14151852231209236,0.2647207648944667,0.5937607127934409,0-1
12,2026-06-22,I,France,Iraq,Philadelphia,False,False,1.8744272428130677,0.40010278977469926,0.7311252622255997,0.2008340382290466,0.0680406995453536,1-0
12,2026-06-22,I,Norway,Senegal,New York/New Jersey (East Rutherford),False,False,1.047478260556167,1.0765838675349093,0.3393665057857852,0.30639853124231065,0.354234962971904,1-1
16,2026-06-26,I,Norway,France,Boston (Foxborough),False,False,0.8812689225048791,1.625654159974499,0.19945164203834168,0.2551659359164648,0.5453824220451935,0-1
16,2026-06-26,I,Senegal,Iraq,Toronto,False,False,1.241332984693463,0.47556309268871494,0.552058479453802,0.30939394980328155,0.1385475707429162,1-0
6,2026-06-16,J,Argentina,Algeria,Kansas City,False,False,1.6830823206317773,0.6264300399645701,0.6266858010945984,0.24201468389288616,0.1312995150125155,1-0
6,2026-06-16,J,Austria,Jordan,San Francisco Bay Area (Santa Clara),False,False,1.7269223812031218,0.6859475355543694,0.6208400176436637,0.23856015996625138,0.14059982239008506,1-0
12,2026-06-22,J,Argentina,Austria,Dallas (Arlington),False,False,1.5967468099839062,0.5703039818502259,0.6214761567660195,0.2519923793713171,0.12653146386266342,1-0
12,2026-06-22,J,Jordan,Algeria,San Francisco Bay Area (Santa Clara),False,False,0.7230364656148165,1.8968762111096136,0.13173931535662212,0.21924165467490409,0.6490190299684739,0-1
17,2026-06-27,J,Algeria,Austria,Kansas City,False,False,1.1471157024601866,1.100804898977982,0.36339042979441516,0.2963178927670825,0.3402916774385023,1-1
17,2026-06-27,J,Jordan,Argentina,Dallas (Arlington),False,False,0.37459006200452194,2.640388439045674,0.03285984592111516,0.11435432433155827,0.8527858297473265,0-2
7,2026-06-17,K,Portugal,DR Congo,Houston,False,False,1.7638364661088246,0.619478876634247,0.6472293438803569,0.23084186491452277,0.12192879120512007,1-0
7,2026-06-17,K,Uzbekistan,Colombia,Mexico City,False,False,0.5419449601312389,1.7427708221088525,0.1066355836198055,0.2295696605541966,0.6637947558259978,0-1
13,2026-06-23,K,Portugal,Uzbekistan,Houston,False,False,1.8845862673141012,0.5823341396251336,0.6834235503973682,0.21304156974632626,0.10353487985630548,1-0
13,2026-06-23,K,Colombia,DR Congo,Guadalajara (Zapopan),False,False,1.6311074644977857,0.5765134349083625,0.628110734518361,0.24722533372766003,0.12466393175397894,1-0
17,2026-06-27,K,Colombia,Portugal,Miami (Miami Gardens),False,False,1.2974050804844375,1.3056725280016794,0.36204669363838143,0.27203516645273906,0.36591813990887934,1-1
17,2026-06-27,K,DR Congo,Uzbekistan,Atlanta,False,False,0.8321300165618436,0.73211487781425,0.3458834144627528,0.36593862387408427,0.2881779616631632,0-0
7,2026-06-17,L,England,Croatia,Dallas (Arlington),False,False,1.1580466151423232,0.6220073701706588,0.48405425297955373,0.32183969753095226,0.19410604948949395,1-0
7,2026-06-17,L,Ghana,Panama,Toronto,False,False,1.1302269357952224,0.8038249833699641,0.42739791192998466,0.31760653991044807,0.254995548159567,1-0
13,2026-06-23,L,England,Ghana,Boston (Foxborough),False,False,1.8648412126656255,0.3936075255678949,0.7310482182870264,0.20161152905053573,0.0673402526624378,1-0
13,2026-06-23,L,Panama,Croatia,Toronto,False,False,0.49916678955621613,1.7860671820634777,0.09392459376674113,0.22082932455175683,0.6852460816815021,0-1
17,2026-06-27,L,Panama,England,New York/New Jersey (East Rutherford),False,False,0.35359570262057155,2.355535188746478,0.039111037700262405,0.1385137008214454,0.822375261478292,0-2
17,2026-06-27,L,Croatia,Ghana,Philadelphia,False,False,1.4140020941372626,0.555650997528446,0.5781997152683102,0.27987641997447776,0.141923864757212,1-0
