world_cup_year,model,log_loss,brier,accuracy_1x2,ece
2014,baseline_constant,1.1060045915106058,0.6732970513791239,0.390625,0.0947703488372093
2014,baseline_elo_simple,1.0542554461059408,0.6412835875848937,0.4375,0.06842118038112825
2014,baseline_poisson_independent,1.0134598352352717,0.6104734254879511,0.546875,0.10773471143735833
2014,dixon_coles_full,1.0150431758662466,0.6121634602806194,0.546875,0.11182019483110064
2014,elo_logit,1.0192185207211915,0.6172850284778708,0.46875,0.06842056397016322
2014,gradient_boosting_calibrated,1.0348479396546875,0.626724208675029,0.484375,0.036672977193906324
2014,ensemble_fixed_spec,1.00809199109962,0.6088061721593694,0.53125,0.0850867677424558
2018,baseline_constant,1.1067535124239865,0.6757079732572979,0.375,0.11114640048396851
2018,baseline_elo_simple,0.9897889915696725,0.5928417238114744,0.5625,0.10366400321781541
2018,baseline_poisson_independent,0.9419611149299243,0.5575989640120816,0.609375,0.1336056763619617
2018,dixon_coles_full,0.944522939087231,0.5594700893988673,0.609375,0.12178003400070322
2018,elo_logit,0.9797782235953147,0.5863390980136887,0.53125,0.0703095538075785
2018,gradient_boosting_calibrated,1.000990720836038,0.5992032041226059,0.578125,0.14164265246264385
2018,ensemble_fixed_spec,0.9455645807687527,0.5612649264766423,0.59375,0.11396624519567737
2022,baseline_constant,1.0746591953240672,0.651309409413955,0.4375,0.052133756507443674
2022,baseline_elo_simple,1.0233567313457241,0.6044666130387836,0.53125,0.07809471237379322
2022,baseline_poisson_independent,1.0222446107004581,0.5965631632260966,0.5,0.13363981144016682
2022,dixon_coles_full,1.024812516580995,0.5974649709823563,0.5,0.14975202954959618
2022,elo_logit,1.0088138935747857,0.596773140842994,0.53125,0.10564973833358106
2022,gradient_boosting_calibrated,1.0201694425343426,0.6063200413024447,0.515625,0.05442135226356167
2022,ensemble_fixed_spec,1.013915396763882,0.5931357316482913,0.515625,0.09733860534303088
AGGREGATE,baseline_constant,1.0958057664195533,0.6667714780167923,0.4010416666666667,0.08601683527620718
AGGREGATE,baseline_elo_simple,1.0224670563404459,0.6128639748117172,0.5104166666666666,0.04985478108304958
AGGREGATE,baseline_poisson_independent,0.9925551869552182,0.5882118509087099,0.5520833333333334,0.06380560530180013
AGGREGATE,dixon_coles_full,0.9947928771781575,0.589699506887281,0.5520833333333334,0.06825228482354531
AGGREGATE,elo_logit,1.0026035459637639,0.6001324224448513,0.5104166666666666,0.032599150785541806
AGGREGATE,gradient_boosting_calibrated,1.0186693676750227,0.6107491513666933,0.5260416666666666,0.04903755196592689
AGGREGATE,ensemble_fixed_spec,0.9891906562107516,0.5877356100947676,0.546875,0.06418759216925743
