comparator,mean_delta_logloss_ensemble_minus_comparator,ci95_delta_logloss,probability_ensemble_better_logloss,mean_delta_brier_ensemble_minus_comparator,ci95_delta_brier,probability_ensemble_better_brier
baseline_constant,-0.10661511020880161,"[-0.16647126560035133, -0.043230728607380725]",0.9992,-0.07903586792202455,"[-0.11800172506167426, -0.03818207698861624]",0.9998
baseline_elo_simple,-0.03327640012969427,"[-0.0710591139249063, 0.004607033881226525]",0.95635,-0.02512836471694944,"[-0.05082708774746858, 0.0008513407708551084]",0.9712
baseline_poisson_independent,-0.0033645307444664582,"[-0.012768228143643751, 0.005690436747963006]",0.7629,-0.0004762408139421009,"[-0.006210800371296422, 0.0050949825818391754]",0.56055
dixon_coles_full,-0.005602220967405873,"[-0.015537738361444295, 0.003801710814710557]",0.8749,-0.0019638967925132435,"[-0.007559783019824469, 0.0034587578416971883]",0.75865
elo_logit,-0.013412889753012346,"[-0.04491113511338211, 0.018540042026983377]",0.79695,-0.01239681235008352,"[-0.03357292845577291, 0.008990250722592803]",0.87415
gradient_boosting_calibrated,-0.029478711464271102,"[-0.06585795189147292, 0.007347981601114736]",0.94275,-0.023013541271925484,"[-0.04724821803090231, 0.0014138042896078879]",0.9673
